Police.Force,Regions
Cleveland,North East
Durham,North East
Northumbria,North East
Cheshire,North West
Cumbria,North West
Greater Manchester,North West
Lancashire,North West
Merseyside,North West
Humberside,Yorkshire and the Humber
North Yorkshire,Yorkshire and the Humber
South Yorkshire,Yorkshire and the Humber
West Yorkshire,Yorkshire and the Humber
Derbyshire,East Midlands
Leicestershire,East Midlands
Lincolnshire,East Midlands
Northamptonshire,East Midlands
Nottinghamshire,East Midlands
Staffordshire,West Midlands
Warwickshire,West Midlands
West Mercia,West Midlands
West Midlands,West Midlands
Bedfordshire,Eastern
Cambridgeshire,Eastern
Essex,Eastern
Hertfordshire,Eastern
Norfolk,Eastern
Suffolk,Eastern
Metropolitan Police,South East
Hampshire,South East
Kent,South East
Surrey,South East
Sussex,South East
Thames Valley,South East
Avon and Somerset,South West
Devon and Cornwall,South West
Dorset,South West
Gloucestershire,South West
Wiltshire,South West
Dyfed-Powys,Wales
Gwent,Wales
North Wales,Wales
South Wales,Wales
